"service","description"
"AWS Directory Service","Fully managed Microsoft Active Directory service"
"AWS Firewall Manager","Central management of firewall rules within an Organisation"
"Amazon GuardDuty","ML-powered intelligent threat detection service that continuously monitors your AWS infrastructure. It can initiate Lambdas with automated responses."
"AWS IAM","Centrally manage users and permissions determining who can access what services and resources"
"AWS IAM Identity Centre","SSO: connect identities across applications"
"Amazon Inspector","Automatically discovers workloads and scans them for&nbsp;<i>software vulnerabilities</i>&nbsp;and&nbsp;<i>unintended network exposure</i>."
"AWS Key Management Service (KMS)","Create, manage and control cryptographic keys across your applications and AWS services"
"Amazon Macie","Data security service that uses ML to detect and protect sensitive data stored in S3"
"AWS Network Firewall","Deploy firewall security across VPCs"
"AWS Resource Access Manager (RAM)","Control access to resources by AWS account, within Organisational Units, or on an IAM role/user basis"
"AWS Secrets Manager","Manage, retrieve and rotate secrets (database credentials, API keys...)"
"AWS Security Hub","Aggregates and prioritizes findings from other AWS security services and enables automated remediation"
"AWS Shield","Managed DDoS protection, with a free standard and paid advanced tier."
"AWS Web Application Firewall (WAF)","Protects web applications from common web exploits and bots using an ML-driven firewall"
"AWS Fargate","Managed, serverless compute engine that allows you to deploy serverless containers using ECS or EKS"
"AWS Lambda","Serverless, event driven compute service that lets you run code for any type of application or backend service without provisioning or managing servers"
"AWS Backup","Managed, policy-based service that automates backups and data protection"
"AWS Elastic Block Store (EBS)","Scalable, high-performance, persistent block storage for EC2"
"Amazon Elastic File System (EFS)","Fully managed Linux file system for business data that is used across applications."
"AWS Elastic Disaster Recovery (DRS)","Fast, reliable recovery of on-premises and cloud-based applications via continuous data replication"
"Amazon FSx","Launch, run and scale feature-rich, high-performance file systems in the cloud"
"Amazon S3","Cloud object storage"
"Amazon S3 Glacier","A subset of S3 plans that provide long-term, durable storage for archival purposes"
"AWS Storage Gateway","Provides on-premises applications with access to unlimited cloud storage (using e.g. S3, FSx, Backup). Access to cached volumes, stored volumes and tape-based backup."
"Amazon ElastiCache","Adds caching layers on top of databases to improve read times, using either Redis or Memcached."
"Amazon Quantum Ledger Database (QLDB)","Fully managed ledger database that provides a transparent, immutable and cryptographically verifiable transaction log, without the complication of blockchain."
"Amazon Managed Blockchain","Build resilient Web3 applications on both public and private blockchains."
"AWS Quick Starts","Automated reference deployments built by AWS and partners that can deploy popular technologies to AWS in minutes"
"AWS Pricing Calculator","Create an estimate for the cost of a business' use cases on AWS"
"Amazon Augmented AI (A2I)","Provides human review workflows for common machine learning tasks, such as content moderation, using either in-house reviewers or Mechanical Turk."
"Amazon DocumentDB","A document database service compatible with MongoDB"
"AWS DeepRacer","An autonomous 1/18 scale race car that tests reinforcement learning models"
"Service Quotas","Manage your quotas for your use of AWS services. Can be linked to CloudWatch to generate alarms when you approach your usage limit."
"AWS re:Post","Online portal containing FAQs and official support articles"
"EC2 On-Demand","Pay for compute capacity by the hour or second, with no long-term commitments."
"Savings Plans","Commit to an <i>hourly</i> spend commitment for 1 or 3 years, for any instance family or region. Can reduce your bill by up to 72%. Usage beyond commitment is charged at On-Demand rates."
"EC2 Spot Instances","Take advantage of unused EC2 capacity for non-urgent background processing jobs. Instances can be stolen back by Amazon with a 2-minute warning, but this can reduce costs by up to 90%."
"EC2 Reserved Instances - Standard","Reserve capacity for a specific instance family in a region for a 1- or 3-year term. Can reduce your bill by up to 72%."
"EC2 Reserved Instances - Convertible","Reserve capacity in a region with flexible AZs and instance types for a 1- or 3-year term. Can reduce your bill by up to 66%."
"EC2 Dedicated Hosts","The most expensive EC2 option, which gives you physical server capacity, allowing you to use existing server-bound software licences. Can be purchased on-demand or as part of Savings Plans"
"AWS PrivateLink","Provides a private connection between a VPC, supported AWS services, and on-premises networks without exposing traffic to the public internet. Can help to transfer data while maintaining regulatory compliance."
"AWS IAM Access Analyser","Evaluates your IAM policies and provides recommendations based on best practices and CloudTrail logs. Also identifies resources within an AWS Organisation that are shared with external entities, e.g. S3 buckets, IAM roles, KMS keys."
"AWS Transit Gateway","A central hub that connects VPCs and on-premises networks across different AWS Regions, simplifying overall network architecture."
"AWS Infrastructure Event Management (IEM)","Architecture and scaling guidance during the preparation and execution of planned events, e.g. product launches. Part of the Enterprise Support plan."
"Amazon Elastic Transcoder","<i>(outdated)&nbsp;</i>Fully managed cloud-based media transcoding, converting media files so they can be played on user devices."
"AWS Elemental MediaConvert","Process video files to prepare on-demand content for distribution or archiving. (Combine with S3 for storage or CloudFront for distribution.)"
"VPC Flow Logs","Captures information about the IP traffic going to and from a VPC. (Can be published to CloudWatch or S3.)"
"AWS Systems Manager - Session Manager","Manage access to EC2 instances and other resources. Auditable alternative to log into EC2, without having to manage SSH keys."
"AWS Elastic Load Balancer (ELB)","Fully managed service that routes requests to instances, allowing decoupling between frontend and backend. Operates at the Region level."
